English,Arabic,Description
Stock purchase warrant,امتياز شراء الأسهم,شهادة ىتمنح حاملها الحق في شراء عدد معين من الأسهم بسعر محدد خلال فترة محددة
Stock right,حق شراء الأسهم,حق يخول حامله شراء أسهم جديدة من نفس الفئة، و يتم عادة إصدار حقوق الشراء للمساهمين الحاليين بالتناسب، أي أن تبقى نسبة حصة المساهمة في الملكية ثابتة
Stock Split,"تجزئة الأسهم ""تقسيم الأسهم""",هي الإجراء الذي ينجم عنه زيادة عدد الأسهم المكونة لرأسمال الشركة دون أن يصاحبه زيادة في حقوق الملكية فيه نظرا لانخفاض القيم الاسمية والسوقية لأسهمها بنسب التجزئة المقررة
Stock-for-stock offer,عرض بالمبادلة ، استخدام المشترى الأسهم  كمقابل فى العرض,عرض بالمبادلة ، استخدام المشترى الأسهم  كمقابل فى العرض
Stop limit order,أمر التداول الذي يتم تنفيذه وفق سعر محدد,أمر التداول الذي يتم تنفيذه وفق سعر محدد
Stop-loss limit,الحد الأقصى للخسارة المسموح به والذي للشركة أن تتحمله,الحد الأقصى للخسارة المسموح به والذي للشركة أن تتحمله
Stop-loss order,أمر بيع او شراء لتفادي خسارة,أمر يعطى للوسيط لبيع أو شراء أوراق مالية إذا ارتفع أو انخفض سعرها عن الحد المعين
Strategic plans,خطط إستراتيجية,خطط إستراتيجية
Subscription,"(1) اكتتاب بأسهم شركة
(2) اكتتاب بمبلغ من المال كمتبرع
(3) توقيع وثيقة
(4) اشتراك","(1) اكتتاب بأسهم شركة
(2) اكتتاب بمبلغ من المال كمتبرع
(3) للشهادة عليها أو التصديق أو الإلتزام بها
(4) في ناد أو جمعية أو جريدة..."
Subscription Agent/ Underwriter,وكيل اكتتاب,الشخص الذي يعرض أو يبيع أوراقا مالية لصالح مصدرها أو حليفه، أو يحصل على أوراق مالية من المصدر أو حليفه بغرض إعادة تسويق أو إدارة عملية إصدار الأوراق المالية
Subscription right  OR Pre-emption right OR allocation right,حق الاكتتاب او حق الاولوية   او حق التوزيع,حق الاكتتاب او حق الاولوية   او حق التوزيع
Subsidiary Company,شركة تابعة,تعد شركة تابعة حيث يملك بها شخص نسبة تزيد على %50 من رأسمالها أو يكون لديه السيطرة الفعلية عليها
Ṣukūk,الصكوك,مستندات (شهادات) تُمثل ملكية نسبة شائعة في موجودات عينية، أو مجموعة مختلطة من الموجودات العينية وغيرها، وقد تكون الموجودات في مشروع محدد أو نشاط استثماري معيّن وفقاً لأحكام الشريعة.
Ṣukūk Securitisation (Sharīʻah-compliant Securitisation),التصكيك (إصدار الصكوك),عملية إصدار صكوك أو شهادات استثمارية تمثل حصة شائعة في ملك موجودات معينة، قد تصدرها جهة مالكة تبيعها إلى حملة الصكوك، أو جهة أمينة تمثلها شركة ذات غرض خاص.
Supervisory authority,الجهة الرقابية,الجهة الرقابية
Support,مستوي الدعم,هو المستوى المتوقع أن يواجه السهم أو السوق عنده قوة شرائية. إما بسبب أن الأسعار قد وصلت عنده في الماضي وإرتفعت منه أو إذا كان هذا المستوى كان مستوى مقاومة أو عنده قوة بيعية في الماضي وإخترقته الأسعار بعد ذلك لأعلى فأصبح دعم.
Support Level,مستويات الدعم,هي مستويات أسعار الأسهم التي يصعب تجاوزها نزولا، وإن حدث ذلك فإنه يعد مؤشراً على حالة من الركود في أسواق المال
Suspension of listing,تعليق الادراج,هذا التعليق اما أن يتم من الجهة الرقابية التى تعتبر جهة الادراج أو بناء على طلب الشركة المدرجة ، وبناء عليه يتم توقف كافة عمليات التداول على السهم والغاء كافة الأوامر من سجل الأوامر
Symmetrical Triangle,شكل المثلث المتماثل,هو شكل من الأشكال السعرية الكلاسيكية المكملة للاتجاه. وهو النموذج الوحيد الذي لا يمكن أن نتوقع من خلاله الحركة القادمة إلا بعد إختراق أحد حدوده. هو عبارة عن حركة عرضية، كل قمة أقل من القمة السابقة وكل قاع أعلى من القاع السابق له. (4 نقاط تحول على الأقل). حدود الشكل يتقاطعوا مع مرور الوقت ليتصلوا عند قمة المثلث (Apex). تنخفض أحجام التداول داخل الشكل و ترتفع بشكل ملحوظ مع إختراق أي من الحدين.
Syndicate,اتحاد مؤقت مكون من اثنين او اكثر من الأفراد او الجهات الاستثمارية,(مصارف استثمار عادة) اجتمعت على هدف استثماري مثل بيع سندات القروض (اقراض الغير) و اقتسام ارادات الفوائد بنسبة مساهمة كل عضو في هذه الجمعية
Tabarruʻ Commitment (Takāful),التزام التبرع (التكافل),مبلغ المساهمة الذي يلتزم بالتبرع به المشارك في التكافل أو المشارك في إعادة التكافل لقاء الوفاء بواجب المساعدة المتبادلة على سبيل التعاون في تحمل المخاطر، ويستخدم في دفع المطالبات من قبل المستحقين.
