
"""Lower"" 0%",« Inférieur » 0 %,»Unter« 0%,أدنى:
Auto generate names...,Générer automatiquement les noms...,Namen automatisch erzeugen …,مولّد آليّاً
Autoformat...,Formatage automatique...,Auto-Formatierung …,تلقائي
Automatic scaling:,Échelle automatique :,Automatische Skalierung:,مسح آلي
Automatically save every,Enregistrement automatique toutes les,Automatisch speichern alle,حدّث آلياً كل:
Average rank,Rang moyen,Durchschnittlicher Rang,المتوسط
Bins,Boîtes,Klassen,ثنائي
Black and white,Noir et blanc,Schwarz/weiß,أسود على أبيض
Bold,Gras,Fett,المتن:
Bottom,Bas,Unten,الأسفل:
By Changing Cell:,En changeant la cellule :,Durch Ändern der Zelle:,القناة:
Cells,Cellules,Zellen,خلية
Center,Centrer,Zentrieren,وسط
Center Across Selection,Centrer au milieu de la sélection,Innerhalb der Auswahl zentrieren,حذف التحديد
Changing cells:,Cellules changeantes :,Durch Ändern der Zellen:,القناة:
Clear,Vider,Leeren,امسح
Clear Advanced Filter,Effacer le filtre avancé,Komplexen Filter löschen,ألوان متقدمة
Clear Selection,Effacer la sélection,Auswahl löschen,قلب التحديد
Column,Colonne,Spalte,العمود
Column major,Colonne principale,Spaltenweise,عمود لاحق
Column width in pixels:,Largeur de colonne en pixels :,Spaltenbreite in Pixeln:,عرض العمود
Columns,Colonnes,Spalten,أعمدة:
"Comma (,)","Virgule (,)","Komma (,)",فاصلة
Comments,Commentaires,Kommentare,تعليقات:
Consolidate...,Consolider...,Konsolidieren …,وحدة تحكم
Content :,,,المحتويات
Contents,Contenu,Inhalt,المحتويات
Contingency Table:,Table des contingences :,Kontingenztabelle:,المحتويات
Coordinate,Coordonnée,Koordinate,إحداثية
Copy,Copier,Kopieren,انسخ
Correlated...,Corrélés...,Korreliert …,الموقع...
Correlation...,Corrélation...,Korrelation …,الموقع...
Criteria range:,Plage des critères :,Kriterienbereich:,معايير:
Current sheet,Feuille active,Momentan angezeigtes Blatt,السِمة الحالية
Custom Percentage,Pourcentage personnalisé,Benutzerdefinierte Prozentsätze,النسبة المئوية
Damping factor (&#x3B1;):,,,لون الرسم:
Data,Données,Daten,تاريخ اليوم
Date,Date,Datum,تاريخ اليوم
Delete,Supprimer,Löschen,فسخ
Delete Cells...,Supprimer les cellules...,Zellen löschen …,احذف الملاحظة...
Delete Column(s),Supprimer colonne(s),Spalte(n) löschen,عمود منتقى
Delete Row(s),Supprimer ligne(s),Zeile(n) löschen,احذف %s
Depends,Dépendances,Hängt ab,انتقاء تاريخ
Descriptive Statistics,Statistiques descriptives,Beschreibende Statistik,قائمة الوصف
Descriptive Statistics...,Statistiques descriptives...,Beschreibende Statistik …,إحصائيات المستندات
Discard,Ignorer,Verwerfen,تجاهل
Discard All,Ignorer tout,Alle verwerfen,اهمل
Distributed,Distribué,Verteilung,الموزّع
Distribution:,Distribution :,Verteilung:,الموزّع
Do not create scenarios,Ne pas créer de scénarios,Keine Szenarien erzeugen,تعذّر إنشاء مقبس: %s
Don't change,Ne pas changer,Nicht ändern,لا تحفظ
Double Low Underline,,,استخدم التسطير
Double Underline,Souligné deux fois,Doppelt unterstreichen,استخدم التسطير
Down,,,أسفل
"Down, then right","En bas, puis à droite","Nach unten, dann nach rechts",الصدر الأيمن
Duplicate,Dupliquer,Duplizieren,مضاعفة
Edges,Encadrements,Ränder,حافة
Edit,Édition,Bearbeiten,تحرير/
Edit Data Slicer...,Modifier un extrait de données...,Demodulator bearbeiten …,تقطيع
Edit DataSlicer,Modifier l'extrait de données,Datenbegrenzer bearbeiten,تقطيع
Enter into cells:,Entrer dans les cellules :,In Zellen einfügen:,أدخل نص جديد:
Entire workbook,Le classeur entier,Gesamtes Arbeitsbuch,الشبكة السلكية
Equal To:,Égal à :,Ist gleich:,يساوي %d
Exponential Smoothing...,Lissage exponentiel...,Exponentielles Glätten …,معدل التنقل الأسي:
Expressions,Expressions,Ausdrücke,تعبير
Fail,Échouer,Fehlschlag,املأ
File,Fichier,Datei,/ملف
File:,Fichier :,Datei:,ملف:
Fill,Remplir,Füllen,املأ
Filter,Filtrer,Filter,مرشّح:
Fit Selection,Remplir la sélection,Markierung einpassen,قلب التحديد
Footer:,Pied de page :,Fußzeilen:,التذييل:
Format,Format,Format,التهيئة:
Format All Cells...,Formater toutes les cellules...,Alle Zellen formatieren …,نسّق الأعمدة...
Format...,Format...,Format …,التهيئة:
Format:,Format :,Format:,التهيئة:
Formats,Formats,Formate,التهيئة:
Formats & Hyperlinks,Formats & hyperliens,Formate und Verknüpfungen,ادخل وصلة
Freeze Panes,Figer les volets,Flächen einfrieren,تفضيلات
Function,,,الوظيفة
Function:,Fonction :,Funktion:,الوظيفة
Functions,Fonctions,Funktionen,الوظيفة
General,Général,Allgemein,عامّ
Goal Seek...,Recherche d'objectif...,Zielsuche …,مسح ألوان...
Goto cell...,,,اذهب الى السطر...
Graphs & Options,Graphiques et options,Diagramme & Optionen,معلومات عامة عادية
Grid lines,Lignes de grille,Gitterlinien,تباعد خطوط الشبكة
Group and Outline,Groupe et contour,Gruppierung und Umrisse,غراند جنكشن
Group...,Grouper...,Gruppieren …,جمّع حسب...
Groups,Groupes,Gruppen,المجموعة:
Growth,Croissance,Wachstum,توسيع
Header:,En-tête de page :,Kopfzeilen:,ترويسات
Height in pixels:,Hauteur en pixels :,Zeilenhöhe in Pixel:,وزن الظل (%)
Help,Aide,Hilfe,مساعدة
Hide,Masquer,Verbergen,اخفي
Hide Detail,Masquer les détails,Details verbergen,احفظ التفاصيل
Hide Zeros,Masquer les zéros,Nullen verbergen,اخفِ التلميحات
Histogram...,Histogramme...,Histogramm …,الرسم البياني
Horizontal,Horizontale,Horizontal,أفقي
Horizontal Scrollbar,Barre de défilement horizontal,Horizontaler Rollbalken,عمود لف أفقي
Horizontally,Horizontalement,Horizontal,أفقي
Hyperlinks,Hyperliens,Verknüpfungen,وصله
Ignore case,Ignorer la casse,Groß-/Kleinschreibung ignorieren,تجاهل الحالة
Ignore initial separators,Ignorer les séparateurs initiaux,Anfangs-Trennzeichen ignorieren,فاصل افقي
Image...,Image...,Bild …,صورة...
Indent:,Indenter :,Einzug:,أزح
Input,Entrée,Eingabe,الدخْل:
Input range:,Plage d'entrée :,Eingabebereich:,الدخْل:
Inputs,Entrées,Eingaben,الدخْل:
Insert,Insertion,Einfügen,أدرج
Insert Cells...,Insérer cellules...,Zellen einfügen …,ثبِّت...
Insert Column(s),Insérer colonne(s),Spalte(n) einfügen,أعمدة القوائم
Insert Row(s),Insérer ligne(s),Zeile(n) einfügen,أدرج
Insert column(s),Insertion de colonne(s),Spalte(n) einfügen,أعمدة مجموعة الإطارات
Interval:,Intervalle :,Intervall:,الفترة:
Inverse,Inverser,Umgekehrt,اعكس الحالة
Italic,Italique,Kursiv,مائل
Iteration,Itération,Iteration,توليد
Justify,Justifier,Ausrichten,الضبط:
K:,K :,K:,س
Keep strings as strings,Conserver les chaînes sous forme de chaînes,Zeichenketten als solche erhalten,ابق الإعدادات الحالية
Known,Connu,Bekannt,أسفل
Labels,Titres,Beschriftungen,ملصقات
Lambda:,Lambda :,Lambda:,غاما:
Layout,Disposition,Layout,تخطيط
Left,À gauche,Links,يسار
Left Align,Aligner à gauche,Links ausrichten,محاذاة الى اليسار
Left Hand Side:,Membre de gauche :,Linke Seite:,الضوء والظل
Left section:,Section de gauche :,Linker Abschnitt:,الفصل التّالي
Left-Right,Gauche-Droite,Links-Rechts,اليسار/اليمين
Linear,Linéaire,Linear,خطي
Link :,,,الوصلة:
List range:,Plage de la liste :,Listenbereich:,إسم القائمة:
Live Assistance,Assistance en ligne,Soforthilfe,المساعد:
Locale,Locale,Sprachumgebung,/محلى
Lock,Verrouiller,Sperren,قفلالأرقام
Lower Bound:,Limite inférieure :,Untere Grenze:,الواجهة الأمامية:
Macintosh (CR),,,الولايات المتحدة ماكنتوش
Manage Sheets...,Gérer les feuilles...,Blätter verwalten …,أدر القصاصات...
Manual,Manuel,Manuell,يدوي
Matrix:,Matrice :,Matrix:,ماتورين
Max,Max,Max,خريطة
Maximum number of categories:,Nombre maximal de catégories :,Maximale Anzahl der Kategorien:,عدد الملفات:
Mean:,Moyenne :,Mittelwert:,المتوسط:
Merge,Fusionner,Zusammenführen,قياس
Merge and Center,Fusionner et centrer,Zusammenführen und zentrieren,دمج لوح الألوان
Merge...,Fusionner...,Zusammenführen …,المزيد...
Message:,Message :,Meldung:,الرسالة:
Middle section:,Section du centre :,Mittlerer Abschnitt:,مدلتاون
Month,Mois,Monat,الشّهر:
Move,Déplacer,Verschieben,تحريك
Moving Average...,Moyenne glissante...,Gleitender Mittelwert …,متوسط التغير
Multiple Sample Tests,Tests à plusieurs échantillons,Mehrfach-Stichproben,مفاتيح متعددة
Multiple linear regression,Régression linéaire multiples,Mehrfache lineare Regression,مفاتيح متعددة
Name...,Nom...,Name …,الإسم:
Name:,Nom :,Name:,الإسم:
Names...,Noms...,Namen …,الإسم
Narrow this column,Rétrécir cette colonne,Diese Spalte einengen,ابدء عند العمود:
New View...,Nouvelle vue...,Neue Ansicht …,عرض جديد
No scaling,Aucun ajustement,Nicht skalieren,التحجيم:
None,Aucune,Keine,لا شيء
Normality Tests...,Test de normalité...,Normalitätstests …,نسّق الأعمدة...
Number,Nombre,Anzahl,الرقم
Number of cutoffs:,Nombre de valeurs limite :,Anzahl von Unterbrechungen:,عدد المقاعد
Number of variables:,Nombre de variables :,Anzahl der Variablen:,عدد الملفات:
One Factor...,Facteur unique...,Einfaktoriell …,ضاري...
One Median,,,عدد أوسط:
Or,Ou,Oder,أو
Order,Positionner,Reihenfolge,الترتيب:
Other values,Autres valeurs,Andere Werte,القيمة
Output,Sortie,Ausgabe,الخرْج:
Paired,Appairées,Paarig,مُقسِّم‌ج
Paste,Coller,Einfügen,توقّف مؤقّت
Percentages,Pourcentages,Prozentsätze,النسبة المئوية
Periodic,Périodique,Periodisch,نقطة
Plain text,Texte pur,Reiner Text,نص
Plug-ins...,Greffons...,Plugins …,ملحقات...
Populations,Populations,Grundgesamtheiten,تطبيقات
Predetermined categories,Catégories prédéterminées,Vorbestimmte Kategorien,غير محدّد
Predetermined cutoffs,Limites prédéterminées,Vorbestimmte Unterbrechungen,غير محدّد
Predicted Median:,Médiane prévue :,Vorhergesagter Medianwert:,تنفيذ
Preserve case,Préserver la casse,Groß-/Kleinschreibung beibehalten,تغيير الضغط
Prompt Before Saving,Demander avant d'enregistrer,Vor dem Speichern nachfragen,اسأل عن تنسيق
Protect worksheet,Protéger la feuille,Arbeitsbuch schützen,بروسباكت كريك
Query,Interroger,Nachfragen,استعلم
Random,Aléatoire,Zufällig,عشوائي
Random Generators,Générateurs aléatoires,Zufallsgeneratoren,رقم عشوائي
Range,Plage,Bereich,مدى
Re-Edit,Éditer à nouveau,Erneut bearbeiten,تحرير/
Redo,Refaire,Wiederholen,عكس تراجع
Refresh DataSlicer,Actualiser l'extrait de données,Datenbegrenzer aktualisieren,انشيء قائمة مهام جديدة
Regression...,Régression...,Regression …,التصاريح...
Remove,Enlever,Entfernen,احذف
Remove Comments,Supprimer les commentaires,Kommentare entfernen,تعليقات:
Remove Hyperlink,Supprimer l'hyperlien,Verknüpfung entfernen,حذف وصلة
Replace by,Remplacer par,Ersetzen durch,المبدل
Results,Résultats,Ergebnisse,النتائج
Right,À droite,Rechts,يمين
Right Align,Aligner à droite,Rechts ausrichten,محاذاة الى اليمين
Right Hand Side:,Membre de droite :,Rechte Seite:,الضوء والظل
Right section:,Section de droite :,Rechter Abschnitt:,زر الفأرة الأيمن
Row,Ligne,Zeile,صف
Row Input :,,,الدخْل:
Row height in pixels:,Hauteur de ligne en pixels :,Zeilenhöhe (Pixel):,وزن الظل (%)
Row major,Ligne principale,Zeilenweise,صف بالأعلى
Rows,Lignes,Zeilen,صفوف:
Sampling...,Échantillonnage...,Stichproben …,إرسال...
Save Selected,Enregistrer les documents sélectionnés,Ausgewähltes speichern,تحديد
Save as Image,,,حفظ الصورة
Save as image,,,حفظ الصورة
Search for,Rechercher,Suchen nach,ابحث عن:
Search for:,Rechercher :,Suchen nach:,ابحث عن:
Select,Sélectionner,Markieren,تحديد
Separated,Séparé,Unterteilt durch,فاصل
Separator:,Séparateur :,Trennzeichen:,فاصل
Series...,Séries...,Datenreihe …,كرة...
Set Cell:,Affecter la cellule :,Zelle festlegen:,الصدَفة:
Settings,Réglages,Einstellungen,تعيينات
Share cursor position,Partager l'emplacement du curseur,Cursor-Position teilen,موقع المؤشّر
Sheet,Feuille,Blatt,صفحة
Shift cells right,Décaler les cellules vers la droite,Zellen nach rechts versetzen,نقل لليمين
Show Detail,Afficher les détails,Details anzeigen,اظهر التفاصيل
