English Term,Arabic Term,Arabic Description
Top-K Sampling ),أخذ عِّينات أعلى (ك,طريقة لتوليد النصوص تختار الكلمة التالية من عدد (ك) من الكلمات الأكثر احتماًال. .
Top-P Sampling ),أخذ عِّينات أعلى (ب,طريقة لتوليد النصوص تختار الكلمة التالية من الكلمات الأكثر احتماًال، التي مجموع احتمالاتها تقارب القيمة (ب). وُيطلق عليها أيًضا أخذ عِّينات نيوكليوس.    . .
Topic Modeling,نمذجة الموضوعات,استخدام أدوات إحصائية أو تعُّلم الآلة الكتشاف الموضوعات الدلالية في مجموعة من الوثائق. .
Torch,تورتش,إطار للحوسبة العلمية مفتوح المصدر، مع دعم واسع لخوارزميات تعُّلم الآلة، مكتوب بلغات البرمجة سي و لوا.
Trained Model,نموذج ُمدّرب,الناتج من عملية تدريب النموذج. .
Training,تدريب,عملية تحديد أو تحسين الُمعاِملات التي تشكل نموذًجا يعتمد على خوارزمية تعُّلم الآلة باستخدام بيانات التدريب. وُيطلق عليها أيًضا تدريب النموذج.   . .
"Training Dataset )or Training Data, Training Set( )",بيانات التدريب (أو مجموعة التدريب,البيانات التي ٌتقَّدم إلى نموذج تعُّلم الآلة أثناء مرحلة التدريب. .
Training Error,خطأ التدريب,الخطأ الذي يحدث عند تشغيل نموذج على بيانات التدريب. .
Training Example,مثال تدريب,مثال من بيانات التدريب يتكون من خاصية واحدة أو أكثر، وقد يحوي اسًما أيًضا. .
Trajectory,مسار,تسلسل من المجموعات في التعُّلم التعزيزي التي ُتمِّثل تسلس ًال من انتقالات حالة الوكيل. .
Transaction Processing,معالجة العمليات,نوع من الحوسبة ُيق ِّسم العمل إلى عمليات فردية وغير قابلة للتجزئة لدعم التطبيقات التفاعلية. .
Transactional Data,بيانات عملياتية,البيانات التي تتضمن تفاصيل العمليات أو الأحداث المتعلقة بالأعمال. .
Transcendence,تفوق,حالة افتراضية يتفوق فيها الذكاء الاصطناعي على الذكاء البشري، وقد يؤدي إلى قدرات تتجاوز بكثير الفهم البشري أو السيطرة عليه. .
Transfer Learning,تعُّلم منقول,أسلوب في تعُّلم الآلة تتعَّلم فيه الخوارزمية أداء مهمة محددة، ثم تستخدم تلك المعرفة في أداء مهام أخرى. .
Transformer,ُمحِّول,معمارية شبكة عصبية لمعالجة البيانات المتسلسلة بالاعتماد على آلية الانتباه الذاتي. وُيطلق عليها أيًضا شبكة الُمحِّوالت العصبية أو نموذج ُمحِّول.      . .
Transformer Model,نموذج ُمحِّول,انظر ُمحِّول. .
Transformer Neural Network,شبكة الُمحِّوالت العصبية,انظر ُمحِّول. .
Translational Invariance,انعدام تأثير الإزاحة,قدرة النموذج على التعُّرف على الأنماط أو معالجتها في البيانات الُمْدَخلة بغض النظر عن موقعها. .
Transliteration,نقل حرفي,عملية تمثيل الكلمات والعبارات في لغة ما باستخدام الحروف الهجائية للغة أخرى، مع الحفاظ على نطقها الأصلي. .
Transparency,شفافية,خاصية في النظام لإيصال المعلومات المناسبة حوله إلى أصحاب المصلحة، وتشمل الميزات والُمكِّونات والإجراءات.
Transposed Convolution,ترشيح معكوس,أسلوب ُيتيح رفع عِّينات ُمَّتجه الخصائص من ُبعد مصغر إلى ُبعد أكبر. وُيطلق عليه أيًضا ترشيح متوسع جزئًّيا أو تفكيك الترشيح.      . .
Tree Traversal,مسح شجري,عملية المرور على جميع الُعَقد في هيكل بيانات شجري. .
Tree-of-Thoughts Prompting,أوامر شجرة الأفكار,أسلوب في هندسة الأوامر ُيمِّكن النموذج من توليد واستكشاف مسارات استدلال متعددة، مثل فروع الشجرة، للعثور على أفضل الحلول. .
Trigram,وحدات ثالثية,تسلسل من ثالثة عناصر في نص. .
Triplet Loss,خسارة ثالثية,دالة خسارة ُتستخدم للتأكد من أن العناصر المتشابهة قريبة من بعضها بعًضا، والعناصر غير المتشابهة متباعدة في فضاء التضمين. .
True Negative )TN(,تصنيف سلبي صحيح,نتيجة تنبأ النموذج بأنها سلبية بصورة صحيحة. .
True Negative Rate )TPR(,معدل سلبي صحيح,انظر نوعية. .
True Positive (TP),تصنيف إيجابي صحيح,نتيجة تنبأ النموذج بأنها إيجابية بصورة صحيحة. .
True Positive Rate )TPR(,معدل إيجابي صحيح,انظر استدعاء. .
Trust,ثقة,مستوى الثقة لدى المستخدم أو صاحب المصلحة في أن النظام أو المنتج سيعمل بالشكل المطلوب. .
Trustworthiness,موثوقية,القدرة على تلبية توقعات أصحاب المصلحة بطريقة يمكن التحقق منها. .
Tuple,مجموعة علائقية,سجل (أو صف) في قاعدة بيانات علائقية. .    ( )
Turing Test,اختبار تورينج,اختبار طَّوره أالن تورينج لتقييم قدرة الآلة على إظهار سلوك ذكي مكافئ للذكاء البشري. .
Unawareness,عدم إدراك,حالة تتوافر فيها السمات الحساسة، ولكنها ليست مستخدمة في بيانات التدريب. .
Underfitting,فرط التعميم,مشكلة في تعُّلم الآلة تحدث عندما يفشل النموذج في نمذجة تعقيد بيانات التدريب بطريقة كافية، وهو ما يؤدي إلى ضعف القدرة التنبؤية. .
Undersampling,خفض العِّينات,انظر تقليل العِّينات. .
Unfriendly Artificial Intelligence )UFAI(,ذكاء اصطناعي ضار,ذكاء عام اصطناعي افتراضي قد يكون مضًّرا بالإنسانية بدًال () من أن يكون مفيًدا. .
Unidirectional Language Model,نموذج لغوي أحادي الاتجاه,نموذج يحدد احتمالية وجود كلمة في نص بناًء على النص الذي يسبقها. ُيطلق عليه أيًضا نموذج لغوي سببي. .     .
Universal Approximation Theorem,نظرية التقريب الشامل,نظرية أساسية تنص على أن الشبكات العصبية يمكنها تقريب أي دالة مستمرة عند توافر الإعدادات المناسبة. .
Unlabeled Example,مثال غير ُمسًّمى,مثال يتضمن خصائَص، وال يتضمن اسًما. .
Unstructured Data,بيانات غير مهيكلة,البيانات التي ليس لها أي هيكل، أو غير منظمة بطريقة محددة سابًقا. .
Unstructured Data Mining,تنقيب في البيانات غير المهيكلة,عملية اكتشاف الأنماط في كمية كبيرة من البيانات غير المهيكلة، واستخراج المعلومات المفيدة منها. .
Unsupervised Anomaly Detection,اكتشاف الشذوذ غير المو َّجه,انظر اكتشاف القيم الشاذة. .
Unsupervised Learning,تعُّلم غير مو َّجه,نوع من تعُّلم الآلة يكتشف الأنماط في مجموعة بيانات غير ُمسَّماة. .
Upsampling,رفع العِّينات,انظر زيادة العِّينات. .
Upweighting,زيادة الوزن,عملية إضافة وزن إلى الصنف الذي ُقِّللت عيناته بمقدار يتناسب مع عامل التقليل. .
