%s Channel Copy,Copie du canal %s,%s (Kopie),نسخة القناة %s
%s Channel to Selection,Canal %s vers sélection,Auswahl aus %s-Kanal,القناة %s إلى التحديد
%s Curve,Courbe %s,%s-Kurve,منحنى %s
%s Message,Message %s,%s-Meldung,رسالة %s
%s Preset,Préréglage %s,Voreinstellung %s,محفوظات %s
%s copy,Copie de %s,%s-Kopie,نسخة %s
%s for a straight line,%s pour une ligne droite,%s für eine gerade Linie,‏%s لترسم سطرا مستقيما
%s for constrained angles,%s pour contraindre les angles,%s für eingeschränkte Winkel,%s للزوايا المقيدة
%s for constrained values,%s pour contraindre les valeurs,%s für eingeschränkte Werte,%s للزوايا المقيدة
%s mask,masque %s,%s Maske,قناع %s
%s plug-In could not open image,,,لم تستطع الملحقة %s فتح الصورة
%s plug-in could not save image,Le greffon %s n’a pas pu enregistrer l’image,Das Plugin %s konnte das Bild nicht speichern,لم تستطع الملحقة %s حفظ الصورة
%s plug-in returned SUCCESS but did not return an image,Le greffon %s a rapporté avoir terminé avec succès mais n’a pas renvoyé d’image,"Das Plugin %s meldete einen Erfolg, es wurde jedoch kein Bild zurück geliefert",أرجعة الملحقة %s رسالة نجاح (SUCCESS) لكن لم تُرجع صورة
%s to blur,%s pour rendre flou,%s zum Weichzeichnen,‏%s للتنعيم
%s to burn,%s pour assombrir,%s zum Abdunkeln,‏%s للحرق
%s to dodge,%s pour éclaircir,%s zum Aufhellen,%s للتمويه
%s to move the whole line,%s pour déplacer la ligne entière,%s zum Verschieben der ganzen Linie,‏%s لنقل كل السطر
%s to pick a background color,%s pour prélever une couleur d’arrière-plan,%s zum Wählen der Hintergrundfarbe,‏%s لالتقاط لون الخلفية
%s to pick a color,%s pour prélever une couleur,%s zum Wählen einer Farbe,‏%s لتلتقط لونا
%s to set a new clone source,%s pour donner une nouvelle source au clonage,%s zum Setzen einer neuen Quellen für das Klonen,‏%s لتحدد مصدر استنساخ جديد
%s to set a new heal source,%s pour donner une source à la correction,%s zum Setzen einer neuen Quelle für das Heilen,‏%s لتحدد مصدر إصلاح جديد
%s to sharpen,%s pour accentuer la netteté,%s zum Schärfen,%s للإظهار
%s version %s,%s version %s,%s Version %s,‏%s إصدارة %s
%s-Click: extend selection,%s-clic : étendre la sélection,%s-Klick: Auswahl erweitern,‏%s-نقر: مدّد الاختيار
%s-Drag: move & compress,%s-glisser : déplacer et compresser,%s-Ziehen: Verschieben und Stauchen,‏%s-سحب: انقل واضغط
%s: %.2f,%s : %.2f,%s: %.2f,%s: %.2f
%s: %d,%s : %d,%s: %d,%s: %d
%s: add control point,%s : ajouter un point de contrôle,%s: Kontrollpunkte hinzufügen,%s: أضف نقطة تحكم
%s: add control points to all channels,%s : ajouter des points de contrôle à tous les canaux,%s: Kontrollpunkte zu allen Kanälen hinzufügen,%s: أضف نقاط تحكم إلى كل القنوات
%s: remove this point,%s : supprimer ce point,%s: Diesen Punkt entfernen,%s: احذف هذه النقطة
%s: symmetrical,%s : symétrique,%s: symmetrisch,‏%s: متماثل
Edit Dynamics...,Modifier la dynamique…,Zeichendynamik bearbeiten …,حرر الحركيات...
Edit Gradient...,Modifier le dégradé…,Farbverlauf bearbeiten …,حرّر التدرج...
Edit Layer Attributes...,Modifier les attributs du calque…,Ebeneneigenschaften …,حرّر صفات الطبقة...
Edit Layer Mask,Modifier le masque de calque,Ebenenmaske bearbeiten,حرّر قناع الطبقة
Edit MyPaint Brush...,Modifier la brosse MyPaint…,MyPaint-Pinsel bearbeiten …,حرّر فرشاة ماي پينت...
Edit Palette...,Modifier la palette…,Palette bearbeiten …,حرّر لوح الألوان...
Edit Path Attributes...,Modifier les attributs du chemin…,Pfadeigenschaften …,حرّر صفات المسار...
Edit Pattern...,Modifier le motif…,Muster bearbeiten …,حرّر النمط...
Edit Template...,Modifier le modèle…,Vorlage bearbeiten …,حرّر القالب...
Edit Tool Preset...,Modifier le préréglage d’outil…,Werkzeug-Voreinstellung bearbeiten …,حرّر محفوظة الخيارات...
Edit event,Modifier l’évènement,Ereignis bearbeiten,حرّر التدرج...
Ellipse Select,Sélection elliptique,Elliptische Auswahl,تحديد بيضاوي
Emboss...,Relief…,Relief …,نقش بارز...
Emulate brush dynamics,Émuler une brosse dynamique,Pinseldynamik emulieren,حاكي حركيات الفرشاة
Enable Color Management,,,فعّل إدارة الألوان
Enable layer & channel previews,Activer les aperçus de calque et canal,Vorschau von Ebenen und Kanälen aktivieren,فعّل معاينات الطبقات والقنوات
Enable this controller,Activer ce contrôleur,Steuerung einschalten,فعّل هذا الضابط
Enormous,Énorme,Enorm,هائل
Enter manually,Saisir manuellement,Manuell eingeben,أدخل يدويا
Equalize,Égaliser,Abgleichen,ساوِ
Eraser,Gomme,Radierer,الممحاة
Erode,Éroder,Erodieren,تآكل
Errors,Erreurs,Fehler,الأعطال
Export,Exporter,Exportieren,صدِّر
Export Current Settings to File...,Exporter les paramètres actuels dans un fichier…,Aktuelle Einstellungen in Datei exportieren …,صدّر الإعدادات إلى ملف...
Extract Component...,Extraire le composant…,Komponente extrahieren …,استخرج مكون...
Fade,,,أبهت
Fade %s...,,,أبهِت %s...
Fade...,,,أبهِت...
Fattal et al. 2002...,Fattal et al. 2002…,Fattal et al. 2002 …,فتّال و آخرون ٢٠٠٢...
File,Fichier,Datei,ملف
Fill,Remplir,Füllen,ملف
Fill Selection Outline,,,املأ الخطوط الخارجية للتحديد
Fill Selection Outline...,Remplir le contour de la sélection…,Umriss der Auswahl füllen …,املأ الخطوط الخارجية للتحديد...
Fill opacity:,Opacité du remplissage :,Deckkraft:,عتامة اللون:
Fill with:,Remplir avec :,Füllung:,املأ بـ:
Fit Image in Window,Ajuster l’image dans la fenêtre,Bild in Fenster einpassen,لائم الصورة في النافذة
Fixed,Fixé,Fest,ثابت
Flatten Image,Aplatir l’image,Bild zusammenfügen,سطّح الصورة
Flip,Retourner,Spiegeln,اقلب
Flip %s& Rotate (%d°),Miroir %set Rotation (%d°),Spiegeln %s & Drehen (%d°),اقلب %sو دوّر (%d°)
Flip & Rotate,Miroir et rotation,Drehen und Spiegeln,اقلب و دوّر
Flip Segment,Retourner le segment,Segment spiegeln,اقلب القطعة
Flip Selection,Retourner la sélection,Auswahl spiegeln,اقلب التحديد
Float,Flottante,Schwebend,اطفُ
Font,Police,,الخط
Fonts,Polices,Schriften,الخطوط
Foreground Color,Couleur de premier plan,Vordergrundfarbe,لون المقدمة
Foreground color:,Premier plan :,Vordergrundfarbe:,لون المقدمة:
Fractal Trace...,Tracé de fractale…,Fraktalspur …,تتبع كسيري...
Fractals,Fractaliser,Fraktale,كسيريات
Free Select,Sélection à main levée,Freie Auswahl,تحديد حر
GEGL Operation...,Opération GEGL…,GEGL-Operationen …,عمليات جي.إي.جي.إل...
GEGL graph...,,,رسم بياني جي.إي.جي.إل...
Gamma:,Gamma :,Gamma:,جاما
Gaussian Blur...,Flou gaussien…,Gaußscher Weichzeichner …,غشاوة غوسية...
Generic,Génériques,Allgemein,عام
Gigantic,Gigantesque,Gigantisch,عملاق
Glass Tile...,Carreaux de verre…,Glasbaustein …,بلاط زجاجي...
Grab event,Capturer l’évènement,Ereignis abfangen,التقط الإجراء
Gradient,Dégradé,Farbverlauf,تدرج
Gradients,Dégradés,Farbverläufe,التدرجات
Grayscale,Niveaux de gris,Graustufen,تدرج رمادي
Grayscale profile:,Profil Niveaux de gris :,Graustufen-Profil:,لاحة التدرج الرمادي المفضلة:
Grayscale...,Niveaux de gris…,Graustufen …,تدرج رمادي...
Grid...,Grille…,Gitter …,شبكة...
Grow...,Agrandir…,Vergrößern …,أنمِ...
Guides,Guides,Hilfslinien,الأدلة
Handle Transform,Transformation par poignées,Ankertransformation,تحويل القفص
Hardness,Dureté,,الصلابة
Heal,Correcteur,Heilen,أصلح
Help,Aide,Hilfe,مساعدة
High Pass...,Passe-haut…,Hochpass …,بلاط سلس...
Highlight,Mise en évidence,Hervorheben,أبرِز
Horizontal:,Horizontale :,Horizontal:,أفقي:
Hue,Teinte,Farbton,الدرجة
Huge,Immense,Riesig,ضخم
Hurl...,Jeter…,Verwirbeln …,رمي...
Icon,Icône,Symbol,أيقونة
Icon:,Icône :,Symbol:,أيقونة:
Illusion...,Illusion…,Illusion …,وهم...
Image,Image,Bild,صورة
Image Gradient...,Dégradé d’image…,Farbverlauf des Bildes …,تدرج الصورة...
Images,Images,Bilder,الصور
Import,Importer,Importieren,استورد
Import Current Settings from File...,Importer des paramètres depuis un fichier…,Aktuelle Einstellungen aus Datei importieren …,استورد الإعدادات من ملف...
Import Palette...,Importer une palette…,Palette importieren …,استورد لوح ألوان...
Indexed...,Couleurs indexées…,Indiziert …,مفهرسة...
Input Devices,Périphériques d’entrée,Eingabegeräte,أجهزة الإدخال
Intersect with Selection,Intersection avec la sélection,Schnittmenge mit Auswahl bilden,قاطع مع التحديد
Invert,Inverser,Invertieren,اعكس
Join style:,Style de jointure :,Verbindungsstil:,أسلوب الوصل:
Kaleidoscope...,Kaléidoscope…,Kaleidoskop …,مشكال...
Keep,Conserver,Behalten,أبقِ
Keyboard Shortcuts,Raccourcis clavier,Tastenkombinationen,اختصارات لوحة المفاتيح
Laplace,Laplace,,لابلاس
Large,Grande,Groß,كبير
Layer,Calque,Ebene,طبقة
Layers,Calques,Ebenen,الطبقات
Layers:,Calques :,Ebenen:,الطبقات:
Left,Gauche,Links,يسار
Left Endpoint,Extrémité gauche,Linker Endpunkt,نقطة النهاية اليسرى
Left Neighbor's Right Endpoint,Extrémité droite du voisin gauche,Rechter Endpunkt des linken Nachbarn,نقطة النهاية اليمنى للجار الأيسر
Levels...,Niveaux…,Werte …,المستويات...
Light Check Color,Couleur claire du damier,Helle Schachbrettfarbe,لو ن فحص فاتح
Light and Shadow,Ombres et lumières,Licht und Schatten,ضوء وظل
Lightness,Luminosité,Helligkeit,الإضاءة
Line Style,Style de ligne,,أسلوب السطر
Linear,Linéaire,Linear,خطي
Linear Invert,,,اعكس خطّيا
Linear Motion Blur...,Flou cinétique linéaire…,Bewegungsunschärfe linear …,غشاوة حركية خطية...
Linked,,,مربوط
Load Left Color From,Charger la couleur gauche depuis,Linke Farbe laden von,حمل اللون الأيسر من
Lower Channel,,,أخفض القناة
Lower Layer,Descendre le calque,,أخفض الطبقة
Lower Path,Descendre le chemin,,اخفض المسار
Manage Saved Presets...,Gestion des préréglages enregistrés…,Gespeicherte Einstellungen verwalten …,أدِر الإعدادات المحفوظة
Mantiuk 2006...,Mantiuk 2006…,Mantiuk 2006...,مانتيوك ٢٠٠٦
Map,Carte,Abbilden,خريطة
Mask,Masque,Maske,القناع
Mask opacity:,Opacité du masque :,Maskendeckkraft:,عتامة القناع:
Mask to Selection,,,قناع من التحديد
Maximum number of colors:,Nombre maximal de couleurs :,Maximale Anzahl der Farben:,أكبر عدد من الألوان:
Maze...,Labyrinthe…,Labyrinth …,متاهة...
Measure,Mesure,Maßband,قِس
Median Blur...,Flou médiane…,Median-Weichzeichner …,غشاوة متوسطية...
Medium,Moyenne,Mittel,وسط
Merge,Fusion,Vereinen,ادمج
Merge Palettes...,Fusionner les palettes…,Paletten vereinen …,ادمج ألواح الألوان...
Merge imported paths,Fusionner les chemins importés,Importierte Pfade verketten,ادمج المسارات المستوردة
Messages,Messages,Meldungen,الرسائل
Mode,Mode,Modus,الطور
Mode:,Mode :,Modus:,الطور:
Modules,Modules,Module,الوحدات
Monitor profile:,Profil moniteur :,Bildschirmprofil:,لاحة الشاشة:
Mono Mixer...,Mixeur mono…,Mono Mixer …,مازج أحادي...
Mosaic...,Mosaïque…,Mosaik …,فسيفساء...
Move,Déplacement,Verschieben,انقل
MyPaint Brushes,Brosses MyPaint,MyPaint-Pinsel,فرش ماي پينت
Name:,Nom :,Name:,الاسم:
Nature,Nature,,طبيعة
Neon...,Néon…,Neon …,نيون...
New Brush,Nouvelle brosse,Neuer Pinsel,فرشاة جديدة
New Channel,Nouveau canal,Neuer Kanal,قناة جديدة
New Channel...,Nouveau canal…,Neuer Kanal …,قناة جديدة...
New Dynamics,Nouvelle dynamique,Neue Zeichendynamik,حركيات جديدة
New Gradient,Nouveau dégradé,Neuer Farbverlauf,تدرج جديد
New Image,Nouvelle image,,صورة جديدة
New Layer,Nouveau calque,Neue Ebene,طبقة جديدة
New Layer...,Nouveau calque…,Neue Ebene …,طبقة جديدة...
New MyPaint Brush,Nouvelle brosse MyPaint,Neuer MyPaint-Pinsel,فرشاة ماي پينت جديدة
New Palette,Nouvelle palette,Neue Palette,لوح ألوان جديد
New Path with last values,Nouveau chemin avec les dernières valeurs,Neuer Pfad mit den letzten Werten,مسار جديد بالقيم الأخيرة
New Path...,Nouveau chemin…,Neuer Pfad …,مسار جديد...
New Pattern,Nouveau motif,Neues Muster,نمط جديد
New Template...,Nouveau modèle…,Neue Vorlage …,قالب جديد...
New Tool Preset,Nouveau préréglage d’outil,Neue Werkzeug-Voreinstellung,محفوظة خيارات جديدة
New Tool Preset...,Nouveau préréglage d’outil…,Neue Werkzeug-Voreinstellung …,محفوظة خيارات جديدة...
New View,Nouvelle vue,Neue Ansicht,منظور جديد
New...,Nouvelle image…,Neu …,جديدة...
Next Tip,Conseil suivant,Nächster Tipp,الفائدة التالية
Noise,Bruit,Rauschen,ضجيج
None,Aucune,Nichts,لا شيء
Offset,,,أزح
Offset...,Décalage…,Versatz …,الإزاحة...
Opacity,Opacité,,العتامة
Opacity:,Opacité :,Deckkraft:,العتامة:
Open,Ouvrir,Öffnen,افتح
Open Brush as Image,Ouvrir la brosse en tant qu’image,Pinsel als Bild öffnen,افتح الفرشاة كصورة
Open Display...,Ouvrir l’affichage…,Anzeige öffnen …,افتح العرض...
Open Image,Ouvrir une image,Bild öffnen,افتح صورة
Open Pattern as Image,Ouvrir le motif en tant qu’image,Muster als Bild öffnen,افتح النمط كصورة
Open text file...,Ouvrir un fichier texte…,Textdatei öffnen …,افتح ملفا نصيا...
Open...,Ouvrir…,Öffnen …,افتح...
Optimize image display for:,Optimiser l’affichage de l’image pour :,Bildanzeige optimieren für:,افتح حوار الصورة
Overlap,Superposition,Überlagern,تداخل
Padding Color,Couleur de remplissage,Rahmenfarbe,لون التوسيد
Paint Tools,Outils de peinture,Malwerkzeuge,أدوات التلوين
Paintbrush,Pinceau,Pinsel,فرشاة تلوين
Palette,Palette,,لوحة الألوان
Panorama Projection...,Projection panoramique…,Panoramaabbildung …,إسقاط بانورامي...
Paper Tile...,Morceaux de papier…,Papierschnipsel …,بلاط ورقي...
Paste,Coller,Einfügen,ألصق
Paste Buffer,Coller le tampon,Ablage einfügen,ألصق البراح
Paste Named...,Coller (nommé)…,Aus Ablage einfügen …,ألصق مسمى...
Path from Text,Créer un chemin depuis le texte,,مسار من النص
Paths,Chemins,Pfade,المسارات
Pattern,Motif,Muster,النمط
Perceptual,Perceptuel,Wahrnehmung,النسبة المئوية:
Perlin Noise...,,,ضجيج پرلن...
Perspective,Perspective,Perspektive,منظوري
Perspective Clone,Clonage en perspective,Perspektivisches Klonen,استنساخ منظوري
Photocopy...,Photocopie…,Fotokopie …,نسخ ضوئي...
Pick...,Piquer…,Nachbar …,انتقاء...
Pixelize...,Pixéliser…,Verpixeln …,بكسلة...
Plasma...,Plasma…,Plasma …,بلازما...
Posterize...,Postériser…,Posterisieren …,قلل الألوان...
Precision:,Précision :,Genauigkeit:,الدقة:
Preferences,Préférences,Einstellungen,التفضيلات
Preview,Aperçu,Vorschau,معاينة
Preview Size,Taille des aperçus,Vorschaugröße,حجم المعاينة
Preview mask,Masque d’aperçu,Vorschaumaske,قناع المعاينة
Previous Tip,Conseil précédent,Vorheriger Tipp,الفائدة السابقة
Print Size...,Taille de l’impression…,Druckgröße …,حجم الطباعة...
Proof Colors,Couleurs de correction,Farbdarstellung,الألوان
Properties,Propriétés,Eigenschaften,الخصائص
Quit,Quitter,Beenden,اخرج
RGB,RVB,RGB,ح‌خ‌ز (RGB)
RGB Noise...,Brouillage RVB…,RGB-Rauschen …,ضجيج RGB...
RGB profile:,Profil RVB :,RGB-Profil:,لاحة زق‌ص‌س:
RGB...,RVB…,RGB …,ح‌خ‌ز (RGB)...
Radius,Rayon,,نصف القطر
Raise Channel,,,ارفع القناة
Raise Layer,Remonter le calque,,ارفع الطبقة
Raise Path,Remonter le chemin,,ارفع المسار
Raise Views,Remonter les vues,Ansichten anheben,ارفع المنظورات
Raise or Open Image,Remonter ou ouvrir une image,Bild öffnen oder anheben,ارفع أو افتح صورة
Reassign Shortcut,Réaffectation du raccourci clavier,Tastenkombination neu zuweisen,أعد تعيين الاختصار
Recently Closed Docks,Groupes de fenêtres récemment fermés,Kürzlich geschlossene Docks,الأرصفة المغلقة مؤخرا
Rectangle Select,Sélection rectangulaire,Rechteckige Auswahl,تحديد مستطيل
Red Eye Removal...,Suppression des yeux rouges…,Rote Augen entfernen …,إزالة تأثير العين الحمراء...
Redo,Rétablir,Wiederherstellen,أعد
Redo %s,Rétablir %s,Wiederholen: %s,أعد %s
Refresh,Actualiser,Aktualisieren,حدّث الفُرَش
Refresh Brushes,Actualiser les brosses,Die Pinsel neu laden,حدّث الفُرَش
Refresh Dynamics,Actualiser la dynamique,Zeichendynamik auffrischen,أنعش الحركيات
Refresh Gradients,Actualiser les dégradés,Die Farbverläufe neu laden,أنعش التدرجات
Refresh MyPaint Brushes,Actualiser les brosses MyPaint,Die MyPaint-Pinsel neu laden,حدّث فُرَش ماي پينت
Refresh Palettes,Actualiser les palettes,Die Paletten neu laden,حدّث ألواح الألوان
Refresh Patterns,Actualiser les motifs,Die Muster neu laden,حدّث الأنماط
Refresh Tool Presets,Actualiser les préréglages d’outils,Die Werkzeug-Voreinstellungen neu laden,حدّث محفوظات الخيارات
Reinhard 2005...,Reinhard 2005…,Reinhard 2005...,رينهارد ٢٠٠٥...
Relative Colorimetric,Colorimétrique relatif,Relativ farbmetrisch,احذف اللون
Remove Alpha Channel,Supprimer le canal alpha,Alphakanal entfernen,احذف قناة الشفافية
Remove Controller,Enlever le contrôleur,Steuerung entfernen,احذف الضابط
Remove unused and duplicate colors from colormap,Enlever les couleurs non utilisées ou en double de la palette,Nicht verwendete und doppelte Farben aus der Palette entfernen,أزل الألوان غير المستخدمة من مخطط الألوان
