(Limited connectivity),(Connectivité limitée),(Eingeschränkte Konnektivität),(إتصال محدود)
Window effects,Effets de fenêtres,Fenstereffekte,مؤثرات النافذة
Window fade-in time,Temps de fondu avant apparition de la fenêtre,Fenstereinblendzeit,وقت تلاشي النافذة
Window fade-out time,Temps de fondu avant disparition de la fenêtre,Zeit zum Ausblenden der Fenster,وقت تلاشي النافذة
Window focus mode,Mode de focus des fenêtres,Fokussierungsverhalten der Fenster,وضع تركيز النافذة
Window list,Liste des fenêtres,Fensterliste,قائمة النافذة
Window opacity,Opacité des fenêtres,Fensterdeckkraft,عتامة النافذة
Window preview (no icons),Aperçu des fenêtres (sans icônes),Fenstervorschau (keine Symbole),معاينة النافذة (بدون أيقونات)
Window title,Titre de la fenêtre,Fenstertitel,عنوان النافذة
Window title (only for the focused window),Titre de la fenêtre (seulement pour la fenêtre ciblée),Fenstertitel (nur das fokussierte Fenster),عنوان النافذة (للنافذة المُركزة فقط)
Window title font,Police du titre des fenêtres,Fenstertitelschrift,خط عنوان النافذة
Windows,Fenêtres,Fenster,النوافذ
Windows Quick List,Liste de fenêtres rapide,Fensterschnellliste,قائمة النوافذ السريعة
Windows software,Logiciels Windows,Windows-Anwendungen,برامج ويندوز
Wired,Câblé,Kabelnetzwerk,سلكي
Wireless,Wi-Fi,Funknetzwerk,لاسلكي
Wireless Keyboard,Clavier sans fil,Funktastatur,لوحة المفاتيح اللاسلكية
Wireless connection,Connexion sans fil,Funkverbindung,اتصال لاسلكي
Wireless mouse,Souris sans fil,Drahtlose Maus,الفأرة اللاسلكية
Workspace,Espace de travail,Arbeitsfläche,مساحة العمل
Workspace Options,Options d’espace de travail,Arbeitsflächenoptionen,خيارات مساحة العمل
Workspace switcher,Sélectionneur d'espace de travail,Arbeitsflächenwechsler,محول مساحة العمل
Workspaces,Espaces de travail,Arbeitsflächen,مساحات العمل
Would you like to add this launcher to the menu also?  It will be placed in the Other category initially.,"Souhaitez-vous aussi ajouter ce lanceur au menu, dans la catégorie « Autre » ?)",Möchten Sie diesen Starter ebenfalls zum Menü hinzufügen? Er wird zunächst in der Kategorie »Sonstige« hinzugefügt.,هل ترغب في إضافة منصة الإطلاق هذة إلى القائمة أيضًا؟ سيتم وضعها في فئة أخرى في البداية.
Wrong password,Mauvais mot de passe,Falsches Passwort,كلمة المرور خاطئة
XApp Status Applet,Applet d’état XApp,XApp-Status-Applet,تطبيق حالة الـ XApp
XRandR monitor control applet,Contrôle d'écran XRandR,XRandR-Bildschirmsteuerung,بريمج للتحكم في شاشة عرض XRandR
YOU PRESSED THE BUTTON!!!,Vous avez cliqué sur le bouton !,SIE HABEN DEN KNOPF GEDRÜCKT!!!,لقد ضغطت على الزر!!!
YOU USED THE HOTKEY!!!,Vous avez utilisé le raccourci !,SIE HABEN DAS TASTENKÜRZEL BENUTZT!!!,لقد استخدمت المفتاح الساخن!!!
Yes,Oui,Ja,نعم
You are currently running in fallback mode.,Vous exécutez actuellement le mode de secours.,Sie befinden sich derzeit im Rückfallmodus.,أنت تعمل حاليًا في الوضع الاحتياطي.
You can disable the offending extension(s) in Cinnamon Settings to prevent this message from recurring.,Vous pouvez désactiver les extensions en cause dans les paramètres de Cinnamon afin d’empêcher que ce message ne se reproduise.,"Sie können die beanstandete(n) Erweiterung(en) in den Cinnamon-Einstellungen deaktivieren, um diese Meldung in Zukunft zu vermeiden.",يمكنك تعطيل الملحقات المخالفة في إعدادات سينامُن لمنع تكرار هذه الرسالة.
You can remove specific instances from the desktop via that desklet's context menu,Vous pouvez supprimer des éléments spécifiques du bureau dans le menu contextuel des desklets.,Einzelne Instanzen können über das Kontextmenü des Desklets vom Schreibtisch entfernt werden.,يمكنك إزالة المثيلات المحددة من سطح المكتب عبر قائمة السياق الخاصة بهذه التطبيقات المكتبية
You can remove specific instances in panel edit mode via the context menu.,Vous pouvez supprimer des instances particulière dans le mode de modification du panneau du menu contextuel.,Einzelne Applets können im Leistenbearbeitungsmodus über das Kontextmenü entfernt werden.,يمكنك إزالة مثيلات معينة في وضع تحرير الشريط عبر قائمة السياق.
You can see this section because the switch above is on. Try switching it off and see what happens.,Vous pouvez voir cette section car l'option ci-dessus est activée. Essayez de la désactiver pour voir ce qu'il se passe.,"Sie können diesen Abschnitt sehen, da der obere Schalter an ist. Versuchen Sie ihn auszuschalten und sehen Sie, was passiert.",يمكنك رؤية هذا القسم لأن المفتاح بالأعلى مفعل. حاول إيقاف تشغيله ورؤية ماذا سيحدث.
You can type paragraphs and lists here,Vous pouvez taper des paragraphes et des listes ici,Abschnitte und Auflistungen können hier eingegeben werden,يمكنك كتابة الفقرات والقوائم هنا
"You don't have any panels added.
Do you want to open panel settings?","Aucun panneau n’est ajouté.
Voulez-vous ouvrir les paramètres des panneaux ?","Es sind keine Leisten vorhanden.
Sollen die Leisteneinstellungen geöffnet werden?","ليس لديك أي أشرطة مضافة.
هل تريد فتح إعدادات الشريط؟"
You may experience poor performance and high CPU usage.,Cela peut réduire les performances et augmenter l’utilisation du processeur.,"Es kann sein, dass Sie eine schlechte Leistung und eine hohe CPU-Auslastung feststellen.",ربما قد تواجه اداء بطيء واستخدام عالي لوحدة المعالجه المركزية (cpu)
Your new password needs to be at least 8 characters long,Votre nouveau mot de passe doit comporter au moins 8 caractères,Das Passwort muss mindestens acht Zeichen lang sein,يجب أن تتكون كلمة المرور الجديدة من 8 أحرف على الأقل
Your system is currently running without video hardware acceleration.,Votre système fonctionne actuellement sans accélération vidéo matérielle.,Ihr System läuft derzeit ohne Video-Hardwarebeschleunigung.,يعمل نظامك حاليًا بدون تسريع أجهزة الفيديو.
Zoom,Zoom,Vergrößerung,تكبير
Zoom in,Zoom avant,Vergrößern,تكبير
Zoom out,Zoom arrière,Verkleinern,تصغير
Action:,Action :,Aktion:,الإجراء:
Cancel,Annuler,Abbrechen,إلغاء
Close,Fermer,Schließen,إغلاق
Horizontal,Horizontal,Horizontal,أفقي
Icons,Icônes,Symbole,اﻷيقونات
New Menu,Nouveau menu,Neues Menü,قائمة جديدة
Open,Ouvrir,Öffnen,فتح
Other Media...,Autres médias…,Andere Medien …,الوسائط الأخرى...
Text,Texte,Text,نص
Vertical,Vertical,Senkrecht,عمودي
applet,applet,Applet,البريمج
audio DVD,DVD audio,DVD-Audio,صوت DVD
authentication required,authentification requise,Legitimierung benötigt,المصادقة المطلوبة
"background, picture, slideshow","arrière-plan, fond d’écran, image, diaporama","Hintergrundbild, Diashow","الخلفية, صورة, عرض شرائح"
blank Blu-ray disc,disque Blu-ray vierge,Leere Blu-ray,قرص Blu-Ray فارغ
blank CD disc,CD vierge,Leere CD,قرص CD فارغ
blank DVD disc,DVD vierge,Leere DVD,قرص DVD فارغ
blank HD DVD disc,disque HD DVD vierge,Leere HD-DVD,قرص HD DVD فارغ
"bluetooth, dongle, transfer, mobile","bluetooth, dongle, transfert, mobile","Bluetooth, Kopierschutzstecker, Dongle, Dongel, Hardlock, Transfer, Übertragung, Mobil",البلوتوث، مفتاح إلكتروني، النقل، المحمول
by %s,par %s,von %s,بواسطة '%s'
cable unplugged,câble débranché,Kabel entfernt,سلك مفصول
characters,caractères,Zeichen,أحرف
"color, profile, display, printer, output","couleur, profil, écran, imprimante, sortie","Farbe, color, Profil, Display, Drucker, printer, Ausgabe, output",اللون، ملف التعريف، العرض، الطابعة، الإخراج
connecting...,connexion…,Verbindung wird aufgebaut …,جاري الاتصال...
connection failed,échec de la connexion,Verbindung fehlgeschlagen,فشل الإتصال
"desklet, desktop, slideshow","desklet, bureau, diaporama","Desklet, Arbeitsfläche, Desktop, Schreibtisch, Diaschau, Diashow",التطبيقات المكتبية، سطح المكتب، عرض الشرائح
"desktop, home, button, trash","bureau, dossier personnel, bouton, corbeille, poubelle","Arbeitsfläche, Schreibtisch, Persönlicher Ordner, Knopf, Papierkorb, Müll, desktop, home, button, trash",سطح المكتب، المجلد الرئيسي، الزر، سلة المهملات
disabled,désactivé,deaktiviert,معطل
disconnecting...,Déconnexion…,Verbindung wird getrennt …,قطع الاتصال...
"disks, manage, hardware, management, hard, hdd, pendrive, format, erase, test, create, iso, ISO, disk, image","disques, gérer, matériel, gestion, dur, disque dur, clé USB, format, effacer, test, créer, iso, ISO, disque, image","Laufwerke, Festplatten, Speichermedium, verwalten, Geräte, Verwaltung, Massenspeicher, formatieren, löschen, testen, erstellen, iso, Abbild, Speicherabbild, Datenträgerabbild, disks, manage, hardware, management, hard, hdd, pendrive, format, erase, test, create, iso, ISO, disk, image",الأقراص، إدارة، الأجهزة، الإدارة، القرص الصلب، محرك القرص الصلب، مفتاح يو اس بي، التنسيق، محو، اختبار، إنشاء، أيزو، أيزو، قرص، صورة
"display, screen, monitor, layout, resolution, dual, lcd","affichage, écran, moniteur, disposition, résolution, double, lcd, acl","Anzeige, display, Bildschirm, Monitor, Anordnung, Darstellung, Layout, Auflösung, Dual, LCD",العرض، الشاشة، جهاز العرض، التخطيط، الدقة، ثنائي، شاشات الكريستال السائل
e-book reader,Lecteur de livres électroniques,E-Book-Reader,e-book قارئ
"extension, addon","extension, add-on","Erweiterung, Zusatz, extension, addon",الملحق، الإضافة
"firewall, block, filter, programs","pare-feu, bloquer, filtrer, programmes","Firewall, Blockieren, Sperren, Filtern, Programme, Anwendungen",جدار الحماية، الحظر، المرشح، البرامج
firmware missing,le microprogramme manque,Firmware fehlt,البرامج الثابتة مفقودة
"font, size, small, large","police, taille, petit, grand","Schriftart, Font, Größe, Klein, Groß",الخط، الحجم، صغير، كبير
"hotcorner, overview, scale, expo","coins intelligents, vue d'ensemble, échelle, expo","Aktive Ecke, Übersicht, Skalierung, Alle Fenster anzeigen",الزاوية الساخنة، نظرة عامة، التحجيم، العرض
