English Term,Arabic Term,Description
"PAMR System","نظام خدمات الراديو المتحركة المتوفرة للعامة","يعني نظام خدمات الراديو المتحركة المتوفرة للعامة تتألف من جهاز إرسال واحد أو أكثر تستخدم الترددات المصرحة من الهيئة والطرفيات المحمولة باليد المعتمدة من الهيئة، والتي تتيح نقل الصوت وحركة البيانات."
"Operation support system/ business support system","نظام دعم الأعمال / نظام دعم العمليات (OSS / BSS)","نظامان يستخدمهما المرخص لهم لدعم تشغيل شبكة الاتصالات، وهي تدعم بعض الوظائف مثل توفير الخدمة وتكوين الشبكة وإدارة الأعطال وإدارة المتعاملين وإعداد الفواتير وإدارة الطلبات."
"Mobile Number Porting System","نظام نقل أرقام الهاتف المتحرك","نظام مركزي يستخدم من قبل المرخص لهم لنقل أرقام الهاتف المتحرك وتضم قاعدة البيانات المركزية ومنصة معالجة الأمر."
"Associated backhaul capacity/ associated terrestrial facilities","نقاط الربط والتوزيع المساندة و المرافق الأرضية المساندة","نقاط الربط والتوزيع والمرافق الأرضية اللازمة لنقل الاتصالات، وتستخدم للنقل حصراً، (بما في ذلك الاتصالات المتعلقة بالقياس عن بعد) إلى المحطات الأرضية ومنها لأغراض ربط هذه الاتصالات بالسواتل."
"Rebuttal","نقض","رد مكتوب من قبل المدعى عليه يرد فيه على الدعوى المرفوعة."
"Surebuttal","نقض","يعني ، اعتماداً على السياق ، إما مرافعة من قبل الطرف المُحيل رداً على نقض المدعى عليه أو التماس من قبل المدعى عليه رداً على طلب الطرف المُحيل المؤكد ."
"Point(s) of Interconnection","نقطة الربط البيني","نقطة (نقاط) في شبكة اتصالات حيث يتم التوصيل البيني."
"Point-to-Multipoint","نقطة إلى عدة نقاط","هي وسيلة اتصالات بين سلسلة من أجهزة الإرسال والاستقبال عبر جهاز إرسال واستقبال مركزي."
"Code Points","نقطة رمز","تعني الرموز المعنية التي تحدد كل حرف في لغات ومحارف معنية بشكل منفرد وهي أرقام منفردة لكل حرف، أو خاصية لحرف ما مثل التشكيل أو أدوات الوصل أو الهمزات."
"Transfer","نقل","تعني إما تغيير المسجل أو صاحب التسجيل أو كلاهما، حسبما يقتضي السياق."
"Transfer of Registrar","نقل المسجل","تعني نقل رعاية (الإشراف على) ترخيص اسم النطاق في قاعدة بيانات السجل من المسجل المفوض فيما يتعلق بترخيص اسم النطاق إلى مسجل آخر، وسيكون لمصطلحات ""المنقول له"" و""ناقل"" معاني مماثلة."
"Fixed Number Portability","نقل رقم الهاتف الثابت","القدرة أو الخدمة التي بموجبها يمكن للمشترك الذي يتم تزويده بخدمات الاتصالات الثابتة بالاشتراك أو بالاتصال برقم هاتف ثابت، إنهاء العقد مع المرخص له الذي يقدم خدمة الاتصالات هذه، مع الاستمرار في استخدام هذا الرقم الثابت بالاشتراك أو الاتصال بتوفير خدمات الاتصالات الثابتة من قبل مرخص له آخر."
"Transfer of Registrant","نقل صاحب التسجيل","تعني نقل ترخيص اسم نطاق من صاحب تسجيل إلى آخر في قاعدة بيانات السجل."
"Maritime Mobile Service Identity","هوية الخدمة المتنقلة البحرية","يقصد بها سلسلة من تسعة أرقام تُرسل عبر المسار الراديوي بالترتيب لأجل تعريف السفينة بشكل فريد"
"Telecommunications and Digital Government Regulatory Authority","هيئة تنظيم الاتصالات والحكومة الرقمية","يقصد بها الهيئة العامة لتنظيم قطاع الاتصالات والحكومة الرقمية. كانت تُعرف سابقاً باسم هيئة تنظيم الاتصالات ""TRA"""
"Application Programming Interface","واجهة برمجة التطبيقات","كانت تسمى سابقاً بخدمات الويب، وهي واجهات قائمة على المعايير التي تسمح للتطبيقات بعرض وظائفها للأنظمة الخارجية."
"External API","واجهة برمجة التطبيقات الخارجية","هي واجهة برمجة التطبيقات تُستخدم من قبل جهة واحدة فقط بواسطة تطبيقات خارجية."
"Internal API","واجهة برمجة التطبيقات الداخلية","هي واجهة برمجة التطبيقات تُستخدم فقط من قبل جهة واحدة فقط بواسطة تطبيقات داخلية معروفة."
"Public or Open API","واجهة برمجة تطبيقات عامة أو مفتوحة","واجهة برمجة تطبيقات يتم توفيرها للعامة ويمكن استخدامها من قبل أي طرف يريد استخدامها. لا يزال بإمكان واجهات برمجة التطبيقات العامة الحصول على متطلبات التحكم في الوصول أو جعلها متاحة للوصول المفتوح من قبل أي طرف."
"Identification Document","وثيقة إثبات الهوية","يقصد بها وثيقة تثبت هوية مشترك الهاتف المتحرك وتم وصفها في سياسة تسجيل مشتركي الهاتف المتحرك."
"Consultation","وثيقة الاستشارة (العامة أو الخاصة)","أداة تنظيمية تصدر من أجل الحصول على آراء ومواقف الجهات/أصحاب المصلحة المعنية فيما يتعلق بموضوع معين."
"MID FASID","وثيقة تنفيذ التسهيلات والخدمات الصادرة عن مكتب الإيكاو للشرق الأوسط","وثيقة مكتب الشرق الأوسط للمنظمة الدولية للطيران المدني ICAO للتسهيلات والخدمات المطبقة"
